,assortativity,clustering,connectivity,density,n_components,target
graph_0,0.005026135906714863,0.006,0.84,0.020404040404040404,15,0.0199526231496888
graph_1,-0.04796818414094906,0.022285714285714287,0.92,0.02707070707070707,7,0.028183829312644536
graph_2,-0.00017653667148033694,0.03761111111111111,0.98,0.04101010101010101,3,0.03981071705534971
graph_3,-0.12105421229769982,0.06465223665223666,1.0,0.05414141414141414,1,0.05623413251903488
graph_4,-0.016256059789606956,0.07582572982572983,1.0,0.07838383838383839,1,0.0794328234724281
graph_5,-0.03984347646998239,0.11177039627039626,1.0,0.11151515151515151,1,0.11220184543019623
graph_6,-0.03902228852046657,0.15231382577354446,1.0,0.15313131313131312,1,0.15848931924611118
graph_7,-0.018381219298226083,0.23426823012715275,1.0,0.2294949494949495,1,0.22387211385683367
graph_8,-0.028904048053895605,0.32158038925369825,1.0,0.3195959595959596,1,0.31622776601683744
graph_9,-0.025254908759163523,0.45116157909826604,1.0,0.4496969696969697,1,0.4466835921509623
graph_10,-0.031231773163619397,0.6323133601190879,1.0,0.6329292929292929,1,0.630957344480192
graph_11,-0.025656614854979914,0.8942336102117436,1.0,0.8939393939393939,1,0.8912509381337436
