,mean,std,skewness,kurtosis,m_2,m_3,m_4
graph_0,2.6043577981651373,0.5801958491014689,0.4863401902308001,0.250157806286277,15.325114678899082,97.83715596330275,664.2161697247707
graph_1,2.1396848137535813,0.5336955726749141,0.5551708556186175,0.32721702214926857,10.203199617956065,52.50716332378223,286.75477554918814
graph_2,1.6769408794445615,0.4825383159992112,0.654698401099022,0.4602565420759559,6.17557332211235,24.39501367557332,102.09604460340837
graph_3,1.4514141414141413,0.4617672945500551,0.7172482699301762,0.5389087007164921,4.583131313131313,15.427777777777779,54.768585858585865
graph_4,1.2276767676767677,0.45386182454444934,0.8517803095131702,0.7667110152639948,3.2452525252525253,9.052525252525253,26.325252525252523
graph_5,1.0745454545454547,0.3837124888652649,0.7127584048614919,0.5107568280900804,2.4844444444444447,6.087272727272728,15.644444444444446
graph_6,0.9655555555555556,0.40365693879672887,0.942670758651788,0.9138446800456738,1.980909090909091,4.264343434343434,9.58939393939394
graph_7,0.8871717171717172,0.4267998587638663,0.9985134842409275,0.997980983165638,1.6653535353535356,3.2332323232323232,6.403535353535354
graph_8,0.8402020202020203,0.3953910488357285,0.9940195225847199,0.9916929605399666,1.5206060606060607,2.8814141414141416,5.6030303030303035
graph_9,0.7751515151515151,0.3407898828051611,0.9704348343452883,0.9569521326820633,1.3254545454545454,2.426060606060606,4.627272727272727
graph_10,0.6835353535353534,0.26155144868964686,0.8444843107645678,0.7497580335720174,1.0506060606060605,1.7847474747474745,3.253030303030303
graph_11,0.553030303030303,0.21401121914266674,0.8595960799414497,0.7759405616540929,0.6590909090909091,0.8712121212121212,1.2954545454545454
